CustomerID,CustomerName,CustomerType,RegistrationDate,LastOrderDate,TotalLifetimeValue,CustomerSegment,StateCode,City,ZipCode,AcquisitionChannel
7f0937a0,Denise Freeman,Individual,2021-11-10,2023-09-30,10383.66,Gold,RJ,East Erikaberg,80032,Social Media
a4fa6005,Angela Smith,Small Business,2022-12-06,2023-02-22,5853.02,Gold,UP,Johnathanport,41971,Social Media
1634a2d3,Joy Davis,Corporate,2021-11-24,2023-08-15,12878.75,Bronze,MH,Alisonside,84469,Referral
007e973b,Christopher Garza,Corporate,2023-07-18,2024-09-13,240.37,Gold,TN,Wilsonchester,17069,Referral
b3c382d8,Rebekah Reese,Individual,2024-04-17,2024-08-09,18273.13,Gold,KA,Warrenmouth,37517,Referral
6317e496,Robert Smith,Corporate,2024-01-28,2024-04-30,14044.73,Silver,RJ,Port Rhonda,61793,Social Media
b646c1f7,Thomas Martin,Corporate,2024-06-26,2025-02-10,8183.51,Silver,RJ,North Nicholas,98171,Referral
d3612c18,Melissa Dean,Small Business,2023-05-27,2023-06-21,2783.16,Bronze,MH,North Ericburgh,96144,Online Ad
e9e83b99,Angela Woods,Individual,2021-10-07,2023-03-25,16499.19,Gold,AP,South Richard,16689,Social Media
44cb8557,Ian Thompson,Small Business,2022-09-12,2024-02-07,15756.12,Gold,DL,New Wendyport,11783,Organic Search
c14e54dc,Cathy Huerta,Corporate,2022-01-31,2022-12-05,4819.54,Gold,DL,Port Kristiside,27856,Online Ad
964ff3ac,Mary Calhoun,Small Business,2021-09-02,2022-03-08,11636.51,Gold,RJ,Loriview,36350,Online Ad
b480a70d,Karen Garcia,Small Business,2024-06-09,2024-07-28,18392.77,Bronze,KA,New Anthonychester,36296,Referral
b66901fd,Jessica Estrada,Individual,2022-09-22,2025-02-05,11041.74,Gold,WB,New Jacquelinemouth,27374,Referral
b8a73d36,Anna Sims,Small Business,2021-08-10,2025-02-15,19633.84,Gold,TS,Gracefurt,76275,Organic Search
cb97393a,Mark Rivera,Individual,2023-06-06,2024-06-03,14889.0,Bronze,AP,Sarafurt,23622,Online Ad
161a2819,Samuel Taylor,Corporate,2024-05-18,2025-06-03,12296.78,Gold,TS,Port Natalie,19522,Referral
c44a1993,Jean Martinez,Small Business,2023-06-28,2024-04-10,3468.69,Silver,UP,Lake Jenniferland,15618,Social Media
0fa51c98,Scott Walton,Individual,2023-06-08,2023-09-17,12429.14,Gold,GJ,Stephanieshire,03973,Organic Search
8654fea5,Danielle Moore,Small Business,2022-03-20,2023-11-11,3117.65,Bronze,RJ,North Arthurmouth,04160,Organic Search
3bf1fbb5,John Hobbs,Corporate,2023-01-21,2024-05-13,1552.22,Gold,TS,West Robert,53151,Referral
e03d5110,Travis Lawrence,Small Business,2024-02-15,2025-03-26,3201.36,Silver,UP,South Ryanton,33919,Referral
d00467f9,Deborah Rodriguez,Individual,2023-12-24,2024-06-18,718.33,Silver,AP,Parkland,25469,Referral
56207ba8,Brian Barrera,Small Business,2024-06-20,2024-07-23,9036.12,Gold,MH,West Tanner,10326,Referral
0e17b6e8,James Christensen,Corporate,2023-05-17,2024-08-28,16630.15,Bronze,TN,Dylanmouth,33585,Online Ad
86cc68ee,Jessica Kim MD,Corporate,2021-12-24,2022-11-04,19211.06,Silver,MH,North Christopher,41819,Online Ad
e2df4ec0,Joyce Garcia,Individual,2021-12-25,2023-09-23,4137.27,Bronze,UP,Bryanfurt,94660,Referral
153387c6,Michael Conner,Corporate,2023-03-31,2025-02-08,14070.66,Bronze,WB,Ernestborough,54850,Social Media
56e359c3,Sean Mendez,Small Business,2024-01-27,2024-09-15,5663.34,Bronze,AP,Lake Jennifer,30568,Online Ad
53f6ae72,Eric Brown,Corporate,2022-04-20,2024-03-01,17204.47,Silver,KA,South Karenchester,18736,Organic Search
a2c3c191,Erica Johnson,Corporate,2023-10-15,2024-11-11,4507.92,Gold,TN,West Kelly,03540,Online Ad
74e959e5,Mrs. Cindy Adams,Individual,2022-12-27,2023-12-16,2855.16,Silver,WB,Rayburgh,83357,Social Media
1ced270b,Erika Henderson,Individual,2021-11-05,2022-11-12,655.54,Bronze,GJ,Kingborough,73306,Referral
f1129656,Keith Woodward,Small Business,2021-10-30,2023-10-07,14802.11,Gold,WB,Caitlinport,83868,Organic Search
ee53f4ce,Susan Bell,Corporate,2022-09-02,2024-04-05,15110.87,Silver,TN,Quinnland,45013,Social Media
55ebc3dd,Aaron Dean,Individual,2022-08-24,2023-06-28,8318.59,Gold,WB,Evansfurt,19970,Referral
b6aed3ff,Susan Anderson,Small Business,2022-04-01,2023-01-03,10351.52,Gold,DL,Danaville,52733,Organic Search
0a250e6a,Calvin Johnson,Corporate,2021-08-19,2023-05-25,1143.87,Gold,RJ,Alisontown,16922,Organic Search
